,Segment,R2,RMSE,Size
12,No_Other side reversed into clt's stationary vehicle,0.9999996801043877,0.2963504856476588,61
11,No_Rear end - 3 car - Clt at front,0.9999908184209755,2.6494055713087317,135
10,No_Other side changed lanes on a roundabout colliding with clt's vehicle,0.9997699147372834,10.108482327635437,78
9,No_Other side drove on wrong side of the road,0.999712743715779,15.312772758248792,84
6,No_Other side changed lanes and collided with clt's vehicle,0.9989083041110889,23.327114059671555,176
5,No_Other side reversed into Clt's vehicle,0.998480984894273,38.76877607609545,94
2,No_Rear end - Clt pushed into next vehicle,0.9982965539431868,31.48872212146971,224
3,No_Other side pulled on to roundabout,0.9976120632472794,50.15647757000359,67
13,Yes_Rear end,0.997552625044601,39.4980191659978,151
15,Other,0.995740399241258,51.51997379914639,254
7,No_Other,0.9883501649339339,102.30353854754523,300
1,No_Other side pulled out of side road,0.9833804101248984,115.31073006819679,525
0,No_Rear end,0.9749274428628458,123.64115502807982,2303
4,No_Unknown,0.9692897038529141,169.64027479311474,95
8,No_Other side turned across Clt's path,0.965330136187072,154.58419193253522,245
14,Unknown,0.9387607696320235,212.9228672909305,97
